ID;Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard;empty;empty;empty
TRA_1;2013-01;RER;A;RER A;83.6;5.1;;;
TRA_2;2013-02;RER;B;RER B;80.3;4.1;;;
TRA_6;2013-02;Transilien;H;Paris Nord Ouest;92.7;12.7;;;
TRA_8;2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0;;;
TRA_11;2013-02;Transilien;P;Paris Est;89.4;8.4;;;
TRA_4;2013-03;RER;D;RER D;80.0;4.0;;;
TRA_6;2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0;;;
TRA_8;2013-03;Transilien;K;Paris Nord Crépy;77.3;3.4;;;
TRA_1;2013-04;RER;A;RER A;83.3;5.0;;;
TRA_6;2013-04;Transilien;H;Paris Nord Ouest;94.6;17.5;;;
TRA_5;2013-05;RER;E;RER E;95.5;21.2;;;
TRA_7;2013-05;Transilien;J;Paris Saint-Lazare Nord;91.5;10.8;;;
TRA_8;2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3;;;
TRA_11;2013-05;Transilien;P;Paris Est;90.4;9.4;;;
TRA_10;2013-07;Transilien;N;Paris Montparnasse;93.2;13.7;;;
TRA_1;2013-08;RER;A;RER A;88.9;8.0;;;
TRA_2;2013-08;RER;B;RER B;89.9;8.9;;;
TRA_5;2013-08;RER;E;RER E;95.4;20.7;;;
TRA_7;2013-08;Transilien;J;Paris Saint-Lazare Nord;89.2;8.3;;;
TRA_9;2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9;;;
TRA_10;2013-08;Transilien;N;Paris Montparnasse;96.0;24.0;;;
TRA_2;2013-09;RER;B;RER B;86.6;6.5;;;
TRA_5;2013-09;RER;E;RER E;96.8;30.3;;;
TRA_11;2013-09;Transilien;P;Paris Est;88.0;7.3;;;
TRA_13;2013-09;Transilien;U;La Verrière - La Défense;92.9;13.1;;;
TRA_7;2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0;;;
TRA_5;2013-11;RER;E;RER E;92.0;11.5;;;
TRA_9;2013-11;Transilien;L;Paris Saint-Lazare Sud;77.8;3.5;;;
TRA_10;2013-11;Transilien;N;Paris Montparnasse;88.1;7.4;;;
TRA_11;2013-11;Transilien;P;Paris Est;82.8;4.8;;;
TRA_12;2013-11;Transilien;R;Paris Sud Est;82.5;4.7;;;
TRA_7;2013-12;Transilien;J;Paris Saint-Lazare Nord;84.4;5.4;;;
TRA_4;2014-01;RER;D;RER D;86.0;6.1;;;
TRA_5;2014-01;RER;E;RER E;93.6;14.6;;;
TRA_6;2014-01;Transilien;H;Paris Nord Ouest;95.9;23.4;;;
TRA_8;2014-01;Transilien;K;Paris Nord Crépy;76.6;3.3;;;
TRA_1;2014-02;RER;A;RER A;85.7;6.0;;;
TRA_4;2014-02;RER;D;RER D;88.2;7.5;;;
TRA_7;2014-02;Transilien;J;Paris Saint-Lazare Nord;85.4;5.8;;;
TRA_8;2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4;;;
TRA_2;2014-03;RER;B;RER B;87.9;7.3;;;
TRA_12;2014-03;Transilien;R;Paris Sud Est;91.5;10.8;;;
TRA_6;2014-04;Transilien;H;Paris Nord Ouest;95.7;22.3;;;
TRA_11;2014-04;Transilien;P;Paris Est;87.9;7.3;;;
TRA_13;2014-04;Transilien;U;La Verrière - La Défense;94.5;17.2;;;
TRA_3;2014-05;RER;C;RER C;91.7;11.0;;;
TRA_6;2014-05;Transilien;H;Paris Nord Ouest;96.9;31.3;;;
TRA_13;2014-05;Transilien;U;La Verrière - La Défense;94.0;15.7;;;
TRA_8;2014-06;Transilien;K;Paris Nord Crépy;79.6;3.9;;;
TRA_2;2014-07;RER;B;RER B;86.9;6.6;;;
TRA_4;2014-07;RER;D;RER D;86.6;6.5;;;
TRA_13;2014-07;Transilien;U;La Verrière - La Défense;93.3;13.9;;;
TRA_3;2014-08;RER;C;RER C;93.9;15.4;;;
TRA_7;2014-09;Transilien;J;Paris Saint-Lazare Nord;84.6;5.5;;;
TRA_13;2014-09;Transilien;U;La Verrière - La Défense;95.9;23.4;;;
TRA_4;2014-10;RER;D;RER D;81.4;4.4;;;
TRA_5;2014-10;RER;E;RER E;94.0;15.7;;;
TRA_7;2014-10;Transilien;J;Paris Saint-Lazare Nord;83.4;5.0;;;
TRA_9;2014-11;Transilien;L;Paris Saint-Lazare Sud;81.3097137157;4.4;;;
TRA_11;2014-11;Transilien;P;Paris Est;87.2800648893;6.9;;;
TRA_12;2014-11;Transilien;R;Paris Sud Est;84.8763888061;5.6;;;
TRA_3;2014-12;RER;C;RER C;89.3;8.3;;;
TRA_9;2014-12;Transilien;L;Paris Saint-Lazare Sud;80.4;4.1;;;
TRA_11;2014-12;Transilien;P;Paris Est;88.7;7.8;;;
TRA_4;2015-01;RER;D;RER D;86.562984012;6.4;;;
TRA_10;2015-01;Transilien;N;Paris Montparnasse;93.886480495;15.4;;;
TRA_13;2015-01;Transilien;U;La Verrière - La Défense;94.6733138523;17.8;;;
TRA_1;2015-02;RER;A;RER A;73.0954862767;2.7;;;
TRA_13;2015-02;Transilien;U;La Verrière - La Défense;91.4461717765;10.7;;;
TRA_1;2015-03;RER;A;RER A;71.9550770992;2.6;;;
TRA_5;2015-03;RER;E;RER E;96.3263168075;26.2;;;
TRA_7;2015-03;Transilien;J;Paris Saint-Lazare Nord;87.4978944245;7.0;;;
TRA_2;2015-04;RER;B;RER B;86.1725099925;6.2;;;
TRA_12;2015-04;Transilien;R;Paris Sud Est;86.114716919;6.2;;;
TRA_6;2015-05;Transilien;H;Paris Nord Ouest;95.9381245311;23.6;;;
TRA_13;2015-05;Transilien;U;La Verrière - La Défense;94.9440173559;18.8;;;
TRA_1;2015-06;RER;A;RER A;71.1496303121;2.5;;;
TRA_8;2015-06;Transilien;K;Paris Nord Crépy;90.0426262557;9.0;;;
TRA_12;2015-06;Transilien;R;Paris Sud Est;85.1866824833;5.8;;;
TRA_2;2015-07;RER;B;RER B;90.9;10.0;;;
TRA_4;2015-07;RER;D;RER D;87.7;7.1;;;
TRA_6;2015-07;Transilien;H;Paris Nord Ouest;92.8;12.9;;;
TRA_7;2015-07;Transilien;J;Paris Saint-Lazare Nord;86.9;6.6;;;
TRA_8;2015-08;Transilien;K;Paris Nord Crépy;87.6;7.1;;;
TRA_12;2015-08;Transilien;R;Paris Sud Est;91.2;10.4;;;
TRA_13;2015-08;Transilien;U;La Verrière - La Défense;95.9;23.4;;;
TRA_1;2015-09;RER;A;RER A;69.9949558857;2.3;;;
TRA_10;2015-09;Transilien;N;Paris Montparnasse;92.9708089902;13.2;;;
TRA_3;2015-10;RER;C;RER C;88.0340653841;7.4;;;
TRA_2;2015-11;RER;B;RER B;86.6;6.5;;;
TRA_4;2015-11;RER;D;RER D;81.6;4.4;;;
TRA_7;2015-11;Transilien;J;Paris Saint-Lazare Nord;88.3;7.5;;;
TRA_8;2015-11;Transilien;K;Paris Nord Crépy;85.0;5.7;;;
TRA_9;2015-11;Transilien;L;Paris Saint-Lazare Sud;80.6;4.2;;;
TRA_7;2015-12;Transilien;J;Paris Saint-Lazare Nord;89.7;8.7;;;
TRA_13;2015-12;Transilien;U;La Verrière - La Défense;92.9;13.1;;;
TRA_4;2013-01;RER;D;RER D;77.6;3.5;;;
TRA_10;2013-01;Transilien;N;Paris Montparnasse;94.7;17.9;;;
TRA_3;2013-02;RER;C;RER C;91.8;11.2;;;
TRA_5;2013-02;RER;E;RER E;94.7;17.9;;;
TRA_12;2013-02;Transilien;R;Paris Sud Est;88.2;7.5;;;
TRA_7;2013-03;Transilien;J;Paris Saint-Lazare Nord;84.2;5.3;;;
TRA_9;2013-03;Transilien;L;Paris Saint-Lazare Sud;81.8;4.5;;;
TRA_12;2013-03;Transilien;R;Paris Sud Est;89.2;8.3;;;
TRA_9;2013-04;Transilien;L;Paris Saint-Lazare Sud;84.4;5.4;;;
TRA_12;2013-04;Transilien;R;Paris Sud Est;89.3;8.3;;;
TRA_13;2013-04;Transilien;U;La Verrière - La Défense;90.1;9.1;;;
TRA_4;2013-05;RER;D;RER D;87.1;6.8;;;
TRA_9;2013-05;Transilien;L;Paris Saint-Lazare Sud;90.6;9.6;;;
TRA_10;2013-05;Transilien;N;Paris Montparnasse;96.1;24.6;;;
TRA_7;2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1;;;
TRA_8;2013-06;Transilien;K;Paris Nord Crépy;71.9;2.6;;;
TRA_9;2013-06;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6;;;
TRA_11;2013-06;Transilien;P;Paris Est;89.4;8.4;;;
TRA_7;2013-07;Transilien;J;Paris Saint-Lazare Nord;87.0;6.7;;;
TRA_8;2013-07;Transilien;K;Paris Nord Crépy;85.1;5.7;;;
TRA_12;2013-07;Transilien;R;Paris Sud Est;88.5;7.7;;;
TRA_3;2013-08;RER;C;RER C;93.4;14.2;;;
TRA_12;2013-08;Transilien;R;Paris Sud Est;92.0;11.5;;;
TRA_13;2013-08;Transilien;U;La Verrière - La Défense;95.3;20.3;;;
TRA_1;2013-09;RER;A;RER A;83.3;5.0;;;
TRA_4;2013-09;RER;D;RER D;83.1;4.9;;;
TRA_10;2013-09;Transilien;N;Paris Montparnasse;92.7;12.7;;;
TRA_12;2013-09;Transilien;R;Paris Sud Est;89.6;8.6;;;
TRA_1;2013-11;RER;A;RER A;80.9;4.2;;;
TRA_2;2013-11;RER;B;RER B;77.9;3.5;;;
TRA_9;2013-12;Transilien;L;Paris Saint-Lazare Sud;83.0;4.9;;;
TRA_10;2013-12;Transilien;N;Paris Montparnasse;92.8;12.9;;;
TRA_7;2014-01;Transilien;J;Paris Saint-Lazare Nord;82.0;4.6;;;
TRA_10;2014-01;Transilien;N;Paris Montparnasse;96.1;24.6;;;
TRA_5;2014-02;RER;E;RER E;95.0;19.0;;;
TRA_6;2014-02;Transilien;H;Paris Nord Ouest;96.1;24.6;;;
TRA_9;2014-02;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9;;;
TRA_13;2014-02;Transilien;U;La Verrière - La Défense;92.2;11.8;;;
TRA_8;2014-03;Transilien;K;Paris Nord Crépy;87.9;7.3;;;
TRA_9;2014-03;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5;;;
TRA_10;2014-03;Transilien;N;Paris Montparnasse;95.4;20.7;;;
TRA_2;2014-04;RER;B;RER B;88.5;7.7;;;
TRA_5;2014-04;RER;E;RER E;93.9;15.4;;;
TRA_7;2014-04;Transilien;J;Paris Saint-Lazare Nord;88.9;8.0;;;
TRA_10;2014-04;Transilien;N;Paris Montparnasse;95.8;22.8;;;
TRA_1;2014-05;RER;A;RER A;87.6;7.1;;;
TRA_9;2014-05;Transilien;L;Paris Saint-Lazare Sud;88.8;7.9;;;
TRA_10;2014-05;Transilien;N;Paris Montparnasse;96.1;24.6;;;
TRA_2;2014-06;RER;B;RER B;;0.0;;;
TRA_3;2014-06;RER;C;RER C;87.3;6.9;;;
TRA_5;2014-06;RER;E;RER E;95.4;20.7;;;
TRA_10;2014-06;Transilien;N;Paris Montparnasse;94.7;17.9;;;
TRA_10;2014-07;Transilien;N;Paris Montparnasse;94.2;16.2;;;
TRA_12;2014-07;Transilien;R;Paris Sud Est;89.7;8.7;;;
TRA_9;2014-08;Transilien;L;Paris Saint-Lazare Sud;92.0;11.5;;;
TRA_10;2014-08;Transilien;N;Paris Montparnasse;94.0;15.7;;;
TRA_12;2014-08;Transilien;R;Paris Sud Est;93.2;13.7;;;
TRA_2;2014-09;RER;B;RER B;87.4;6.9;;;
TRA_9;2014-09;Transilien;L;Paris Saint-Lazare Sud;85.7;6.0;;;
TRA_10;2014-09;Transilien;N;Paris Montparnasse;91.6;10.9;;;
TRA_1;2014-10;RER;A;RER A;68.8;2.2;;;
TRA_3;2014-10;RER;C;RER C;84.1;5.3;;;
TRA_9;2014-10;Transilien;L;Paris Saint-Lazare Sud;82.4;4.7;;;
TRA_12;2014-10;Transilien;R;Paris Sud Est;77.9;3.5;;;
TRA_13;2014-10;Transilien;U;La Verrière - La Défense;93.6;14.6;;;
TRA_1;2014-11;RER;A;RER A;69.8;2.3;;;
TRA_6;2014-11;Transilien;H;Paris Nord Ouest;94.7480048369;18.0;;;
TRA_6;2014-12;Transilien;H;Paris Nord Ouest;94.1;15.9;;;
TRA_6;2015-01;Transilien;H;Paris Nord Ouest;95.5645619782;21.5;;;
TRA_8;2015-01;Transilien;K;Paris Nord Crépy;87.1798892246;6.8;;;
TRA_9;2015-01;Transilien;L;Paris Saint-Lazare Sud;82.1373543647;4.6;;;
TRA_2;2015-02;RER;B;RER B;85.3965470191;5.8;;;
TRA_3;2015-02;RER;C;RER C;91.6087087474;10.9;;;
TRA_3;2015-03;RER;C;RER C;88.9155867451;8.0;;;
TRA_6;2015-03;Transilien;H;Paris Nord Ouest;96.0638677623;24.4;;;
TRA_8;2015-03;Transilien;K;Paris Nord Crépy;88.1187031039;7.4;;;
TRA_1;2015-04;RER;A;RER A;71.9766560096;2.6;;;
TRA_7;2015-04;Transilien;J;Paris Saint-Lazare Nord;90.7900630753;9.9;;;
TRA_10;2015-04;Transilien;N;Paris Montparnasse;93.9060416413;15.4;;;
TRA_2;2015-05;RER;B;RER B;86.9952922687;6.7;;;
TRA_4;2015-05;RER;D;RER D;86.3768853161;6.3;;;
TRA_5;2015-05;RER;E;RER E;95.9872926887;23.9;;;
TRA_9;2015-05;Transilien;L;Paris Saint-Lazare Sud;85.8420374434;6.1;;;
TRA_10;2015-05;Transilien;N;Paris Montparnasse;93.7811658877;15.1;;;
TRA_2;2015-06;RER;B;RER B;84.9707913192;5.7;;;
TRA_9;2015-06;Transilien;L;Paris Saint-Lazare Sud;82.6352043617;4.8;;;
TRA_3;2015-07;RER;C;RER C;88.3;7.5;;;
TRA_9;2015-07;Transilien;L;Paris Saint-Lazare Sud;78.5;3.7;;;
TRA_1;2015-08;RER;A;RER A;82.9967982302;4.9;;;
TRA_5;2015-08;RER;E;RER E;94.7;17.9;;;
TRA_6;2015-08;Transilien;H;Paris Nord Ouest;96.3;26.0;;;
TRA_9;2015-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9;;;
TRA_5;2015-09;RER;E;RER E;89.9032780408;8.9;;;
TRA_12;2015-09;Transilien;R;Paris Sud Est;89.616676579;8.6;;;
TRA_4;2015-10;RER;D;RER D;84.1984724898;5.3;;;
TRA_8;2015-10;Transilien;K;Paris Nord Crépy;90.2045165447;9.2;;;
TRA_10;2015-10;Transilien;N;Paris Montparnasse;87.4471200064;7.0;;;
TRA_11;2015-10;Transilien;P;Paris Est;90.724966006;9.8;;;
TRA_13;2015-10;Transilien;U;La Verrière - La Défense;91.4565937429;10.7;;;
TRA_5;2015-11;RER;E;RER E;92.9;13.1;;;
TRA_5;2013-01;RER;E;RER E;93.3;13.9;;;
TRA_7;2013-01;Transilien;J;Paris Saint-Lazare Nord;82.5;4.7;;;
TRA_13;2013-01;Transilien;U;La Verrière - La Défense;92.3;12.0;;;
TRA_1;2013-02;RER;A;RER A;86.2;6.2;;;
TRA_7;2013-02;Transilien;J;Paris Saint-Lazare Nord;88.1;7.4;;;
TRA_5;2013-03;RER;E;RER E;92.9;13.1;;;
TRA_11;2013-03;Transilien;P;Paris Est;89.0;8.1;;;
TRA_13;2013-03;Transilien;U;La Verrière - La Défense;89.2;8.3;;;
TRA_8;2013-04;Transilien;K;Paris Nord Crépy;82.0;4.6;;;
TRA_12;2013-05;Transilien;R;Paris Sud Est;93.0;13.3;;;
TRA_13;2013-05;Transilien;U;La Verrière - La Défense;95.3;20.3;;;
TRA_1;2013-06;RER;A;RER A;83.4;5.0;;;
TRA_3;2013-06;RER;C;RER C;90.3;9.3;;;
TRA_6;2013-06;Transilien;H;Paris Nord Ouest;94.1;15.9;;;
TRA_12;2013-06;Transilien;R;Paris Sud Est;89.5;8.5;;;
TRA_2;2013-07;RER;B;RER B;84.1;5.3;;;
TRA_5;2013-07;RER;E;RER E;94.0;15.7;;;
TRA_4;2013-08;RER;D;RER D;90.4;9.4;;;
TRA_11;2013-08;Transilien;P;Paris Est;92.1;11.7;;;
TRA_4;2013-10;RER;D;RER D;79.6;3.9;;;
TRA_5;2013-10;RER;E;RER E;95.2;19.8;;;
TRA_8;2013-10;Transilien;K;Paris Nord Crépy;81.2;4.3;;;
TRA_10;2013-10;Transilien;N;Paris Montparnasse;92.6;12.5;;;
TRA_12;2013-10;Transilien;R;Paris Sud Est;89.4;8.4;;;
TRA_3;2013-11;RER;C;RER C;85.5;5.9;;;
TRA_1;2013-12;RER;A;RER A;81.2;4.3;;;
TRA_5;2013-12;RER;E;RER E;94.9;18.6;;;
TRA_6;2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9;;;
TRA_11;2013-12;Transilien;P;Paris Est;91.0;10.1;;;
TRA_1;2014-01;RER;A;RER A;81.1;4.3;;;
TRA_2;2014-01;RER;B;RER B;81.3;4.3;;;
TRA_2;2014-02;RER;B;RER B;88.9;8.0;;;
TRA_3;2014-02;RER;C;RER C;90.8;9.9;;;
TRA_5;2014-03;RER;E;RER E;94.4;16.9;;;
TRA_6;2014-03;Transilien;H;Paris Nord Ouest;96.4;26.8;;;
TRA_7;2014-03;Transilien;J;Paris Saint-Lazare Nord;87.1;6.8;;;
