Noms Gares ou stations;nb places en abri en libre-accés;nb places en espace fermé;Total places Véligo;ID_VELIGO;LIEN;Y_L93;ID_REF_ZDL;TARIF;LIGNES;ETAT;DATE_MES;TYPE;ANNEE_MES;MOA;X_L93;DPT;Geo Shape;geo_point_2d;IDREFLIGC;IDREFLIGA
BRUNOY;20;40.0;60.0;77;http://veligo.transilien.com/fr/articles.php;6844363.97;58873.0;20;D;En service;2018-02-01;abri|consigne;2018;SNCF;663697.49;91;"{""type"": ""Point"", ""coordinates"": [2.5067327299, 48.6984010255]}";48.6984010255, 2.5067327299;C01728;A01842
MONTIGNY-BEAUCHAMP;;40.0;40.0;26;http://veligo.transilien.com/fr/articles.php;6878880.67;43166.0;20;"H;C";En service;2012-12-21;consigne;2012;SNCF;641317.52;95;"{""type"": ""Point"", ""coordinates"": [2.1978934572, 49.0071568697]}";49.0071568697, 2.1978934572;"C01737 ; C01727";"A01849 ; A01840"
BOUSSY-SAINT-ANTOINE;;40.0;40.0;2;http://veligo.transilien.com/fr/articles.php;6842409.79;47924.0;20;D;En service;2012-12-21;consigne;2012;SNCF;665567.51;91;"{""type"": ""Point"", ""coordinates"": [2.5322986449, 48.6809267851]}";48.6809267851, 2.5322986449;C01728;A01842
CORMEILLES-EN-PARISIS;20;36.0;56.0;8;;6874517.27;43116.0;20;J;En service;2016-01-01;abri|consigne;2016;Cormeilles;640896.74;95;"{""type"": ""Point"", ""coordinates"": [2.192752094, 48.9678841151]}";48.9678841151, 2.192752094;C01739;A01852
BOIS-LE-ROI;;40.0;40.0;58;http://veligo.transilien.com/fr/articles.php;6819547.58;47654.0;20;R;En service;2016-05-01;consigne;2016;SNCF;677187.18;77;"{""type"": ""Point"", ""coordinates"": [2.6913421038, 48.475789476]}";48.475789476, 2.6913421038;C01731;A01845
MONTPARNASSE;;60.0;60.0;121;http://veligo.transilien.com/fr/articles.php;6860106.12;58584.0;20;N;En service;2016-09-06;consigne;2016;SNCF;649870.44;75;"{""type"": ""Point"", ""coordinates"": [2.31701303, 48.8390543967]}";48.8390543967, 2.31701303;C01736;A01847
MAISONS-ALFORT-STADE;28;;28.0;119;;6856708.43;44066.0;0;M8;En service;2016-01-01;abri;2016;CD94;658459.26;94;"{""type"": ""Point"", ""coordinates"": [2.4343580378, 48.8091090334]}";48.8091090334, 2.4343580378;C01378;A01541
MAIRIE DE CHEVILLY;12;;12.0;111;;6852425.57;47690.0;0;TVM;En service;2017-01-01;abri;2017;CD94;652188.35;94;"{""type"": ""Point"", ""coordinates"": [2.3494538818, 48.7701568929]}";48.7701568929, 2.3494538818;C01071;A00924
MEAUX;;40.0;40.0;;;;;;P;En service;;consigne;;;;;;48.9573295, 2.8716039;;
VAL-D'EUROPE;12;56.0;68.0;51;http://www.montevrain-veligo.fr/;6861635.49;43213.0;12;A;En service;2015-07-06;abri|consigne;2015;CA Marne et Gondoire;683219.2;77;"{""type"": ""Point"", ""coordinates"": [2.771305656, 48.8545396599]}";48.8545396599, 2.771305656;C01742;A01856
SARTROUVILLE;;88.0;88.0;44;http://veligo.transilien.com/fr/articles.php;6871169.59;43191.0;20;"J;L;A";En service;2012-05-15;consigne;2012;SNCF;638312.59;78;"{""type"": ""Point"", ""coordinates"": [2.1579472884, 48.9375393396]}";48.9375393396, 2.1579472884;"C01739 ; C01740 ; C0172701742";"A01852 ; A02176 ; A01856"
RAMBOUILLET;;40.0;40.0;34;http://veligo.transilien.com/fr/articles.php;6838836.67;426895.0;20;N;En service;2012-07-15;consigne;2012;SNCF;613896.96;78;"{""type"": ""Point"", ""coordinates"": [1.8312404156, 48.6439729961]}";48.6439729961, 1.8312404156;C01736;A01847
VAL-DE-FONTENAY;120;;120.0;49;;6861707.25;47900.0;0;"A;E";En service;2015-11-01;abri;2015;CD94;662605.26;94;"{""type"": ""Point"", ""coordinates"": [2.4903713399, 48.8543183028]}";48.8543183028, 2.4903713399;"C01742 ; C01729";"A01856 ; A01843"
VAL-D'ARGENTEUIL;30;;30.0;149;;6872564.61;43212.0;20;J;En service;2018-03-01;abri;2018;CA Argenteuil Bezons;643701.89;95;"{""type"": ""Point"", ""coordinates"": [2.2313227068, 48.9505776759]}";48.9505776759, 2.2313227068;C01739;A01852
ROISSY-EN-BRIE;24;40.0;64.0;;https://pvm.rouelibre.fr/;;;;E;En service;;abri|consigne;;;;;;48.7956667, 2.6502778;;
SAVIGNY-SUR-ORGE;;40.0;40.0;;;;;;C;En service;;consigne;;;;;;48.6761531, 2.3496651;;
CERGY-SAINT-CHRISTOPHE;20;36.0;56.0;81;;6883718.72;47897.0;30;"A;L";En service;2017-01-01;abri|consigne;2017;CA Cergy Pontoise;629429.59;95;"{""type"": ""Point"", ""coordinates"": [2.0346086221, 49.0494605004]}";49.0494605004, 2.0346086221;"C01742 ; C01740";"A01856 ; A02176"
CHELLES-GOURNAY;;98.0;98.0;5;http://veligo.transilien.com/fr/articles.php;6863826.0;46536.0;20;"P;E";En service;2012-05-15;consigne;2012;SNCF;669438.1;77;"{""type"": ""Point"", ""coordinates"": [2.5833373998, 48.8737326311]}";48.8737326311, 2.5833373998;"C01730 ; C01729";"A01844 ; A01843"
BOUFFEMONT-MOISSELLES;;40.0;40.0;59;http://veligo.transilien.com/fr/articles.php;6883035.92;47517.0;20;H;En service;2016-05-01;consigne;2016;SNCF;650477.83;95;"{""type"": ""Point"", ""coordinates"": [2.322608014, 49.0452900329]}";49.0452900329, 2.322608014;C01737;A01849
EPINAY-VILLETANEUSE;;40.0;40.0;10;http://veligo.transilien.com/fr/articles.php;6873343.11;43078.0;20;H;En service;2012-07-31;consigne;2012;SNCF;650875.91;93;"{""type"": ""Point"", ""coordinates"": [2.3291792412, 48.9581659935]}";48.9581659935, 2.3291792412;C01737;A01849
ARGENTEUIL;60;78.0;138.0;66;;6872206.69;47875.0;NR;J;En service;2017-03-01;abri|consigne;2017;CA Argenteuil Bezons;645648.76;95;"{""type"": ""Point"", ""coordinates"": [2.2579490089, 48.9475267187]}";48.9475267187, 2.2579490089;C01739;A01852
GROSLAY;;20.0;20.0;101;http://veligo.transilien.com/fr/articles.php;6876230.89;43133.0;20;H;En service;2017-04-01;consigne;2017;SNCF;652649.48;95;"{""type"": ""Point"", ""coordinates"": [2.3530742939, 48.9842658381]}";48.9842658381, 2.3530742939;C01737;A01849
JUVISY;;72.0;72.0;;https://aspqol.sphinxonline.net/SurveyServer/s/PoleTRV/AbonnementVeligo/formulaireclient_gosb.htm;;;;"C;D";En service;;consigne;;;;;;48.6898786, 2.38353;;
GARE DE L'EST;;69.0;69.0;;http://veligo.transilien.com/fr/articles.php;;;;"P;E";En service;;consigne;;;;;;48.876389, 2.3562452;;
JOINVILLE-LE-PONT;44;;44.0;;;;;;A;En service;;abri;;;;;;48.8200812, 2.4639493;;
LA PLAINE-STADE DE FRANCE;28;40.0;68.0;103;http://veligo.transilien.com/fr/articles.php;6868887.18;43145.0;20;B;En service;2017-04-01;abri|consigne;2017;SNCF;653252.72;93;"{""type"": ""Point"", ""coordinates"": [2.3621261831, 48.918274364]}";48.918274364, 2.3621261831;C01743;A01857
SAINT-LEU-LA-FORET;;40.0;40.0;138;http://veligo.transilien.com/fr/articles.php;6879796.54;48964.0;20;H;En service;2017-04-01;consigne;2017;SNCF;644630.13;95;"{""type"": ""Point"", ""coordinates"": [2.2430492938, 49.0156859533]}";49.0156859533, 2.2430492938;C01737;A01849
SANNOIS;40;;40.0;43;http://veligo.transilien.com/fr/articles.php;6874707.2;427270.0;0;L;En service;2016-03-01;abri;2016;SNCF;646133.26;95;"{""type"": ""Point"", ""coordinates"": [2.2642453532, 48.9700520053]}";48.9700520053, 2.2642453532;C01740;A02176
PARC INTERDEPARTEMENTAL DES SPORTS;12;;12.0;129;;6852414.82;0.0;0;TVM/393;En service;2017-01-01;abri;2017;CD94;657802.88;94;"{""type"": ""Point"", ""coordinates"": [2.4258458123, 48.7704518055]}";48.7704518055, 2.4258458123;C01071/C01318;A00924/A01178
MAISONS-ALFORT-LES JUILLIOTTES;62;;62.0;116;;6856136.4;44067.0;0;M8;En service;2017-01-01;abri;2017;CD94;659204.62;94;"{""type"": ""Point"", ""coordinates"": [2.4445617279, 48.8040121342]}";48.8040121342, 2.4445617279;C01378;A01541
ROUGET DE LISLE;12;;12.0;134;;6851742.4;44694.0;0;TVM/393;En service;2017-01-01;abri;2017;CD94;656269.01;94;"{""type"": ""Point"", ""coordinates"": [2.4050449552, 48.7643021529]}";48.7643021529, 2.4050449552;C01071/C01318;A00924/A01178
SAINT-MANDE-TOURELLE;20;;20.0;139;;6860856.79;58738.0;0;M1;En service;2016-01-01;abri;2016;CD94;657442.96;94;"{""type"": ""Point"", ""coordinates"": [2.4201051949, 48.8463497867]}";48.8463497867, 2.4201051949;C01371;A01534
MONTGERON-CROSNE;10;;10.0;25;;6845598.71;47684.0;0;D;En service;2014-10-01;abri;2014;Montgeron;660238.18;91;"{""type"": ""Point"", ""coordinates"": [2.4596152853, 48.7093029002]}";48.7093029002, 2.4596152853;C01728;A01842
NOISY-CHAMPS;12;20.0;32.0;;https://pvm.rouelibre.fr/;;;;A;En service;;abri|consigne;;;;;;48.84243, 2.578026;;
LES BOULLEREAUX-CHAMPIGNY;20;;20.0;;;;;;E;En service;;abri;;;;;;48.8249339, 2.5096499;;
TRIEL-SUR-SEINE;10;;10.0;64;;6876254.98;46926.0;0;J;En service;2015-11-01;abri;2015;CA2RS;627183.13;78;"{""type"": ""Point"", ""coordinates"": [2.0051669362, 48.9821018688]}";48.9821018688, 2.0051669362;C01739;A01852
SUCY-BONNEUIL;40;;40.0;147;;6852416.55;58792.0;0;A;En service;2016-01-01;abri;2016;CD94;663863.94;94;"{""type"": ""Point"", ""coordinates"": [2.5083130351, 48.770835269]}";48.770835269, 2.5083130351;C01742;A01856
COMBS-LA-VILLE-QUINCY;;108.0;108.0;6;http://www.senart.com/deplacements/pole-gare-de-combs-la-ville-quincy/;6840867.1;45771.0;10;D;En service;2014-11-03;consigne;2014;Grand Paris Sud;666666.41;77;"{""type"": ""Point"", ""coordinates"": [2.5473449472, 48.6671086819]}";48.6671086819, 2.5473449472;C01728;A01842
EMERAINVILLE-PONTAULT-COMBAULT;;60.0;60.0;95;https://pvm.rouelibre.fr/;6856300.13;43074.0;20;E;En service;2016-07-01;consigne;2016;SNCF / PVM;671915.24;77;"{""type"": ""Point"", ""coordinates"": [2.617605564, 48.8061634849]}";48.8061634849, 2.617605564;C01729;A01843
CORBEIL-ESSONNES;;56.0;56.0;7;http://veligo.transilien.com/fr/articles.php;6834937.24;43115.0;20;D;En service;2012-06-30;consigne;2012;SNCF;661185.61;91;"{""type"": ""Point"", ""coordinates"": [2.4734571714, 48.6134655658]}";48.6134655658, 2.4734571714;C01728;A01842
GRIGNY-CENTRE;;40.0;40.0;18;http://veligo.transilien.com/fr/articles.php;6839403.45;43132.0;20;D;En service;2016-05-01;consigne;2016;SNCF;655477.27;91;"{""type"": ""Point"", ""coordinates"": [2.3955588267, 48.6532701438]}";48.6532701438, 2.3955588267;C01728;A01842
COLOMBES;;96.0;96.0;93;http://veligo.transilien.com/fr/articles.php;6869628.97;43113.0;20;J;En service;2016-09-01;consigne;2016;SNCF;645712.56;92;"{""type"": ""Point"", ""coordinates"": [2.2591501961, 48.9243528327]}";48.9243528327, 2.2591501961;C01739;A01852
ETAMPES;;40.0;40.0;61;http://veligo.transilien.com/fr/articles.php;6815439.44;43080.0;20;C;En service;2016-05-01;consigne;2016;SNCF;637814.68;91;"{""type"": ""Point"", ""coordinates"": [2.1592507493, 48.4362545386]}";48.4362545386, 2.1592507493;C01727;A01840
BRETIGNY;;40.0;40.0;3;http://veligo.transilien.com/fr/articles.php;6834319.69;43098.0;20;C;En service;2015-11-27;consigne;2015;SNCF;648593.94;91;"{""type"": ""Point"", ""coordinates"": [2.302724622, 48.6070330817]}";48.6070330817, 2.302724622;C01727;A01840
BRY-SUR-MARNE;28;;28.0;154;;6860589.513;43101.0;30;A;En service;2018-01-01;abri;2018;RATP / CD94;665223.24;94;"{""type"": ""Point"", ""coordinates"": [2.5261406152, 48.8444130116]}";48.8444130116, 2.5261406152;C01742;A01856
FONTENAY-SOUS-BOIS;50;;50.0;13;;6860490.78;47238.0;0;A;En service;2015-11-01;abri;2015;CD94;660748.31;94;"{""type"": ""Point"", ""coordinates"": [2.4651772149, 48.8432680495]}";48.8432680495, 2.4651772149;C01742;A01856
SAINT-DENIS-UNIVERSITE;20;32.0;52.0;38;http://rouelibre.fr/stdenis/;6871955.95;44860.0;30;M13;En service;2015-11-05;abri|consigne;2015;RATP;653429.99;93;"{""type"": ""Point"", ""coordinates"": [2.3642078012, 48.9458825118]}";48.9458825118, 2.3642078012;C013713;A015343
PORTE DE L'ESSONNE;;32.0;32.0;33;https://aspqol.sphinxonline.net/SurveyServer/s/PoleTRV/AbonnementVeligo/formulaireclient_gosb.htm;6846278.93;58786.0;20;T7;En service;2015-05-18;consigne;2015;CALPE;653839.73;91;"{""type"": ""Point"", ""coordinates"": [2.3725868298, 48.7149953133]}";48.7149953133, 2.3725868298;C01774;A02134
MASSY-PALAISEAU;;40.0;40.0;120;http://veligo.transilien.com/fr/articles.php;6847594.12;58774.0;20;"B;C";En service;2017-03-01;consigne;2017;SNCF;645403.65;91;"{""type"": ""Point"", ""coordinates"": [2.2577613245, 48.7261660104]}";48.7261660104, 2.2577613245;"C01743 ; C01727";"A01857 ; A01840"
SAINTE-GENEVIEVE-DES-BOIS;;40.0;40.0;40;http://veligo.transilien.com/fr/articles.php;6839460.9;43188.0;20;C;En service;2016-03-01;consigne;2016;SNCF;649506.01;91;"{""type"": ""Point"", ""coordinates"": [2.3144899831, 48.6533481701]}";48.6533481701, 2.3144899831;C01727;A01840
OZOIR-LA-FERRIERE;;40.0;40.0;128;http://veligo.transilien.com/fr/articles.php;6852314.75;46572.0;20;E;En service;2016-05-01;consigne;2016;SNCF;677217.27;77;"{""type"": ""Point"", ""coordinates"": [2.6900087587, 48.7705293581]}";48.7705293581, 2.6900087587;C01729;A01843
RUEIL-MALMAISON;;448.0;448.0;36;http://www.rouelibre.fr/rueil/;6865567.72;58875.0;20;A;En service;2015-09-03;consigne;2015;Ville de Rueil-Malmaison;639267.21;92;"{""type"": ""Point"", ""coordinates"": [2.1717792101, 48.88725672]}";48.88725672, 2.1717792101;C01742;A01856
LOGNES;;40.0;40.0;23;https://pvm.rouelibre.fr/;6859976.28;43152.0;12;A;En service;2015-10-02;consigne;2015;Paris Valle de la Marne;673103.52;77;"{""type"": ""Point"", ""coordinates"": [2.6335523377, 48.8392751749]}";48.8392751749, 2.6335523377;C01742;A01856
